date,lang,target,cv_preds,abs_diff
2023-08-07,de,583.9994397284773,,
2023-08-14,de,637.9999978243819,,
2023-08-21,de,684.9996283434693,,
2023-08-28,de,796.9992443039795,,
2023-09-04,de,943.8997163911547,,
2023-09-11,de,1058.8971146155898,,
2023-09-18,de,1140.999106627664,,
2023-09-25,de,1275.856421649257,,
2023-10-02,de,1091.9007362967004,,
2023-10-09,de,1522.8951301824654,,
2023-10-16,de,1554.898119751441,,
2023-10-23,de,1637.9989154801701,,
2023-10-30,de,1470.9996461866324,,
2023-11-06,de,1799.9996007099378,,
2023-11-13,de,1914.998801385022,,
2023-11-20,de,2067.9994133621935,,
2023-11-27,de,2073.8998873393402,,
2023-12-04,de,2318.898249254154,,
2023-12-11,de,2528.9984991936662,,
2023-12-18,de,2228.997895523722,,
2023-12-25,de,961.9994568636896,,
2024-01-01,de,1645.999508456778,,
2024-01-08,de,1636.9989722507707,,
2024-01-15,de,1768.903452015804,,
2024-01-22,de,2028.9041883865455,,
2024-01-29,de,2167.9987849562394,,
2024-02-05,de,2067.9990696118707,,
2024-02-12,de,1767.9990674290634,,
2024-02-19,de,1800.9006952615043,,
2024-02-26,de,1537.9030331979939,,
2024-03-04,de,1426.9996140915014,,
2024-03-11,de,1432.9990848386967,,
2024-03-18,de,1370.9020780040837,,
2024-03-25,de,1020.8950528275175,,
2024-04-01,de,1130.9988641204034,,
2024-04-08,de,1167.999741006554,,
2024-04-15,de,1139.9997993841093,,
2024-04-22,de,1282.900645130896,,
2024-04-29,de,1004.8981811393649,,
2024-05-06,de,828.9995786131374,,
2024-05-13,de,1094.8975755766628,,
2024-05-20,de,836.999819186999,,
2024-05-27,de,763.8976016124574,,
2024-06-03,de,906.9999521882035,,
2024-06-10,de,1027.897125940799,,
2024-06-17,de,1016.8937444636605,,
2024-06-24,de,960.8888387619683,1014.4712346285282,53.58239586655998
2024-07-01,de,1050.8893411211247,851.3074011141517,199.581940006973
2024-07-08,de,972.8871937749645,898.0277977492592,74.85939602570534
2024-07-15,de,860.9991307274802,634.2935641945185,226.7055665329617
2024-07-22,de,740.9998509054626,525.670783549926,215.3290673555366
2024-07-29,de,690.9995720874209,370.2807232057213,320.7188488816996
2024-08-05,de,701.8841324959411,343.68655354311886,358.19757895282225
2024-08-12,de,691.8843063615398,430.1258138788377,261.7584924827021
2024-08-19,de,803.8883076742156,508.87502816048686,295.0132795137288
2024-08-26,de,847.8897611718687,683.9289731004221,163.9607880714466
2024-09-02,de,919.9994713912541,817.3146374543385,102.68483393691565
2024-09-09,de,1095.891587925861,1030.5936790531716,65.29790887268928
2024-09-16,de,1516.9988049794135,1568.3272738297946,51.328468850381114
2024-09-23,de,1477.870548629199,1868.0060944635047,390.13554583430573
2024-09-30,de,1358.9998531461629,1408.084786831891,49.084933685728174
2024-10-07,de,1927.997779379486,1677.5867221140438,250.4110572654422
2024-10-14,de,1702.9983438402737,1926.4774021902751,223.47905835000142
2024-10-21,de,1659.9981348335566,1578.7904251761554,81.20770965740121
2024-10-28,de,1294.9991500342167,1507.7745897867123,212.77543975249569
2024-11-04,de,1724.9996754469096,1563.4283703454196,161.57130510149
2024-11-11,de,1619.9012513850028,1904.488671112866,284.58741972786333
2024-11-18,de,1666.999860058775,1440.1769099762002,226.82295008257483
2024-11-25,de,1585.901800152481,1384.3983941816196,201.50340597086142
2024-12-02,de,1620.9990091552522,1374.3914444482702,246.60756470698198
2024-12-09,de,1708.9986775548305,1649.5387164674498,59.459961087380634
2024-12-16,de,1643.9987089217757,1198.3714608414998,445.6272480802759
2024-12-23,de,519.9994238233531,112.36627751747176,407.6331463058814
2024-12-30,de,958.9989748046357,-453.238926167837,1412.2379009724727
2025-01-06,de,1695.8952224297216,809.625304532698,886.2699178970236
2025-01-13,de,1691.9011548783249,2104.1094163073144,412.20826142898954
2025-01-20,de,2190.903886472981,2619.7367818825937,428.8328954096128
2025-01-27,de,2643.9975791669362,3450.588828978044,806.5912498111079
2025-02-03,de,2475.9005285018716,3717.0753595581527,1241.174831056281
2025-02-10,de,2649.9010430806884,3179.4230808588113,529.5220377781229
2025-02-17,de,2535.997838955182,3157.9386606984754,621.9408217432936
2025-02-24,de,2307.9988432677487,2792.6362713117014,484.6374280439527
2025-03-03,de,1842.9992903410894,1899.9572190200356,56.957928678946246
2025-03-10,de,1859.999795828782,1370.726079814913,489.27371601386903
2025-03-17,de,1498.8985343969098,1392.5593326213434,106.33920177556638
2025-03-24,de,1388.8918602636156,1119.5030168362864,269.3888434273292
2025-03-31,de,1365.8785180626737,1373.756461126165,7.87794306349133
2025-04-07,de,,,3.1212634727289696
